ClientName,bid,cid,pred_date,dailylimit_date_before,ml_pred_spd,adjusted_spd
Black by Brian Gavin,1752,2258,2018-08-10,15.5,1.75,15.5
Happy Socks,1838,4308,2018-08-10,20.0,16.89,12.09
Happy Socks,1838,4309,2018-08-10,20.0,12.59,12.09
FabFitFun,1840,4311,2018-08-10,105.0,103.0,132.521
Gobble,1841,4509,2018-08-10,12.5,12.43,17.2983
Cuddle and Kind,2030,3808,2018-08-10,35.0,48.15,48.15
Cuddle and Kind,2030,3809,2018-08-10,30.5,38.33,38.33
Cuddle and Kind,2030,3810,2018-08-10,15.5,28.58,28.58
Cuddle and Kind,2030,3811,2018-08-10,36.5,9.04,9.04
Cuddle and Kind,2030,3812,2018-08-10,7.5,5.24,0.9
Olivers Apparel,1798,2277,2018-08-10,22.8,15.93,17.7594
Olivers Apparel,1798,2278,2018-08-10,18.5465,21.37,23.1994
Boat Outfitters,2065,3815,2018-08-10,29.89,29.64,29.64
Boat Outfitters,2065,3817,2018-08-10,28.22,33.26,33.26
ICEMULE Coolers,1802,2794,2018-08-10,15.0,25.2,17.7775
Boat Outfitters,2065,3819,2018-08-10,11.67,11.11,7.74
Boat Outfitters,2065,3821,2018-08-10,13.57,12.71,12.71
Ace Adventure Resort,1827,4478,2018-08-10,5.0,5.11,5.11
Mission Workshop,1793,2808,2018-08-10,2.56,3.68,0.17
Happy Socks,1838,2812,2018-08-10,36.0,139.47,105.746
Peragon,1960,3330,2018-08-10,16.75,21.91,21.91
Peragon,1960,3331,2018-08-10,11.5938,9.16,6.43382
Olivers Apparel,1798,2276,2018-08-10,25.499,23.02,24.8494
Gunnar Optiks,1912,2823,2018-08-10,26.5,10.7,7.3
Gunnar Optiks,1912,2825,2018-08-10,28.75,16.97,16.97
Gymboree,1878,2826,2018-08-10,81.25,83.36,81.6928
Gymboree,1878,2827,2018-08-10,51.25,55.86,54.7428
Gobble,1841,4364,2018-08-10,12.5,13.67,18.5383
Gymboree,1878,2829,2018-08-10,20.0,6.16,5.95
Chipolo,1821,2318,2018-08-10,12.75,10.25,11.9933
Gymboree,1878,2831,2018-08-10,35.0,24.54,21.4816
Chipolo,1821,2321,2018-08-10,7.0,9.39,11.1333
Chipolo,1821,2322,2018-08-10,6.25,1.13,2.87333
Ace Adventure Resort,1827,4483,2018-08-10,1.25,1.22,1.22
Threadbeast,1897,2836,2018-08-10,50.0,39.16,44.9317
Threadbeast,1897,2838,2018-08-10,10.0,20.2,25.9717
Threadbeast,1897,2839,2018-08-10,72.0,46.0,51.7717
Threadbeast,1897,2840,2018-08-10,100.0,106.97,112.742
prAna,1882,3353,2018-08-10,15.3941,19.07,19.562
New Republic,1906,2844,2018-08-10,60.0,71.63,92.0133
New Republic,1906,2845,2018-08-10,102.5,49.8,70.1833
Powerdot,1991,3358,2018-08-10,60.06,67.28,65.9344
Powerdot,1991,3359,2018-08-10,8.20071,3.56,2.86126
New Republic,1906,2848,2018-08-10,25.0,4.92,25.3033
Strideline Socks,2131,4386,2018-08-10,60.0,59.66,62.38
True & Co.,1833,2852,2018-08-10,187.5,186.05,188.5
True & Co.,1833,2853,2018-08-10,112.5,120.21,122.66
True & Co.,1833,2854,2018-08-10,237.5,199.42,201.87
True & Co.,1833,2855,2018-08-10,62.5,84.52,86.97
Shopkick,2123,4231,2018-08-10,6.25,45.19,8.75
Great Value Vacations,2132,4264,2018-08-10,5.75,8.05,8.36
Happy Socks,1838,4398,2018-08-10,40.0,110.36,45.8938
Mega Slam Hoops,2034,3889,2018-08-10,1.75,0.97,11.9487
Nanit,1941,4404,2018-08-10,22.5,18.23,18.23
Mega Slam Hoops,2034,3893,2018-08-10,60.7075,39.53,50.5088
Happy Socks,1838,4406,2018-08-10,32.0,95.71,12.09
Ava Women,1729,1673,2018-08-10,17.5,16.94,23.855
Ace Adventure Resort,1827,4482,2018-08-10,5.5,5.54,5.54
Nanit,1941,3388,2018-08-10,12.5,29.82,29.82
Rear View Safety,1989,3393,2018-08-10,14.75,7.81,8.0075
Threadbeast,1897,4418,2018-08-10,17.5,8.23,14.0017
Rear View Safety,1989,3396,2018-08-10,23.75,30.83,31.0275
Rear View Safety,1989,3397,2018-08-10,10.5,3.72,3.9175
Rear View Safety,1989,3398,2018-08-10,13.5,19.35,19.5475
Biossance,2068,3911,2018-08-10,20.0,24.41,24.41
The Grand Voyage,1674,3912,2018-08-10,9.59129,4.57,10.1795
Powerdot,1991,3913,2018-08-10,25.5521,26.14,17.0841
Vincero Collective,1864,3915,2018-08-10,181.5,168.12,172.467
Blink for Home,1867,2530,2018-08-10,38.5165,47.19,13.18
Office Chairs USA,2023,3918,2018-08-10,22.0,13.23,18.305
Aurate,1935,4432,2018-08-10,38.75,44.03,66.2133
Office Chairs USA,2023,3921,2018-08-10,19.75,18.37,23.445
Gaia,1751,2390,2018-08-10,129.166,109.07,116.849
inkbox,1845,2393,2018-08-10,12.5,23.94,23.94
inkbox,1845,2394,2018-08-10,12.5,14.8,1.06
Gobble,1841,4448,2018-08-10,62.5,49.37,54.2383
Olivers Apparel,1798,4449,2018-08-10,20.652,19.86,21.6894
