cid,bid,value
1839,1745,0.75
1838,1693,0.75
1837,1693,0.75
1836,1557,0.65
1835,1557,0.65
1834,1557,0.65
1833,1557,0.65
1832,1557,0.65
1831,1557,0.65
1830,1557,0.65
1829,1557,0.65
1828,1557,0.65
1827,1557,0.65
1826,1557,0.65
1825,1557,0.65
1824,1557,0.65
1823,1557,0.65
1822,1557,0.65
1821,1557,0.65
1820,1750,0.01
1819,1693,0.75
1818,1753,150.0
1817,1742,0.75
1816,1742,0.75
1815,1742,0.75
1814,1742,0.75
1813,1742,0.75
1812,1742,0.75
1811,1693,0.75
1810,1752,0.75
1809,1752,0.75
1808,1752,0.75
1807,1752,0.75
1806,1728,0.75
1805,1728,0.75
1804,1728,0.75
1803,1728,0.75
1802,1728,0.75
1801,1728,0.75
1800,1617,0.75
1799,1728,0.75
1798,1728,0.75
1797,1728,0.75
1796,1750,0.01
1795,1749,0.75
1794,1749,0.75
1793,1749,0.75
1792,1726,0.75
1791,1742,0.75
1790,1744,0.75
1789,1749,0.75
1788,1743,10.0
1787,1743,10.0
1786,1743,10.0
1785,1748,0.75
1784,1746,0.75
1783,1731,0.75
1782,1615,0.75
1781,1726,0.75
1780,1608,0.75
1779,1734,0.75
1778,1745,0.75
1777,1745,0.75
1776,1745,0.75
1775,1734,0.75
1774,1734,0.75
1773,1734,0.75
1772,1734,0.75
1771,1734,0.75
1770,1734,0.75
1755,1741,0.75
1754,1741,0.75
1753,1739,0.75
1752,1739,0.75
1751,1739,0.75
1750,1557,0.65
1749,1557,0.65
1748,1557,0.65
1747,1557,0.65
1746,1557,0.65
1745,1557,0.65
1744,1557,0.65
1743,1734,0.75
1742,1734,0.75
1741,1734,0.75
1740,1734,0.75
1739,1734,0.75
1738,1734,0.75
1737,1734,0.75
1736,1734,0.75
1735,1734,0.75
1734,1734,0.75
1733,1734,0.75
1732,1734,0.75
1731,1734,0.75
1730,1734,0.75
1729,1604,0.5
1728,1649,0.75
1727,1728,0.65
1726,1728,0.65
1725,1728,0.65
1724,1728,0.65
1723,1728,0.65
1722,1728,0.65
1721,1728,0.65
1720,1720,0.75
1719,1729,0.75
1718,1724,10.0
1717,1731,0.75
1716,1732,0.75
1715,1557,0.65
1714,1557,0.65
1713,1557,0.65
1712,1557,0.65
1711,1732,0.65
1710,1732,0.65
1709,1557,0.65
1708,1608,0.75
1707,1608,0.75
1706,1732,0.7
1705,1732,0.65
1704,1608,0.75
1692,1360,0.75
1691,1690,0.75
1690,1690,0.75
1689,1690,0.75
1688,1690,0.75
1687,1726,0.75
1686,1726,0.75
1685,1726,0.75
1684,1726,0.75
